1,1,S821A_S801A,S821A,803A,Nil,Nil,Nil,Nil,Nil,Nil,Nil,90,805A,Nil,805A,805A,807A
2,,,,Nil,801AV2,Nil,803A,Nil,801A_L,Nil,Nil,,,,,,
3,2,S801A_S803A,S801A,807A,Nil,807A,Nil,Nil,Nil,Nil,Nil,90,809A,Nil,809A,809A,811A
4,,,,Nil,807AV3,Nil,Nil,Nil,Nil,Nil,Nil,,,,,,
5,,,,Nil,807AV2,Nil,Nil,Nil,Nil,Nil,Nil,,,,,,
6,3,S801A_S807A,S801A,807A,Nil,807A,Nil,Nil,Nil,Nil,Nil,90,809A,Nil,809A,809A,811A
7,,,,Nil,807AV3,Nil,Nil,Nil,Nil,Nil,Nil,,,,,,
8,,,,Nil,807AV2,Nil,Nil,Nil,Nil,Nil,Nil,,,,,,
9,4,S803A_S809A,S803A,813A,Nil,Nil,Nil,Nil,Nil,Nil,Nil,90,815A,Nil,815A,815A,817A
10,,,,811A,Nil,Nil,813A,Nil,811A_L,Nil,801A,,,,,,
11,,,,,,,,,811A_sL,,802A,,,,,,
12,,,,809A,Nil,Nil,813A,Nil,809A_L,Nil,801A,,,,,,
13,,,,,,,,,809A_sL,,802A,,,,,,
14,,,,Nil,807AV3,Nil,813A,S801A_S803A,Nil,Nil,Nil,,,,,,
15,5,S803A_S811A,S803A,813A,Nil,Nil,Nil,Nil,Nil,Nil,Nil,90,815A,Nil,815A,815A,814A
16,,,,811A,Nil,Nil,813A,Nil,811A_L,Nil,801A,,,,,,
17,,,,,,,,,811A_sL,,802A,,,,,,
18,,,,809A,Nil,Nil,813A,Nil,809A_L,Nil,801A,,,,,,
19,,,,,,,,,809A_sL,,802A,,,,,,
20,,,,Nil,807AV3,Nil,813A,S801A_S803A,Nil,Nil,Nil,,,,,,
21,6,VS821A_S805A,VS821A,804A,Nil,Nil,Nil,Nil,Nil,Nil,Nil,90,806A,Nil,806A,806A,808A
22,,,,802A,Nil,Nil,804A,Nil,802A_L,Nil,Nil,,,,,,
23,,,,Nil,828BV1,Nil,804A,Nil,828B_L,Nil,Nil,,,,,,
24,7,S805A_S807A,S805A,806A,Nil,806A,Nil,Nil,Nil,Nil,Nil,90,808A,Nil,808A,808A,810A
25,,,,Nil,806AV1,Nil,Nil,Nil,Nil,Nil,Nil,,,,,,
26,,,,Nil,806AV2,Nil,Nil,Nil,Nil,Nil,Nil,,,,,,
27,8,S807A_S809A,S807A,812A,Nil,Nil,Nil,Nil,Nil,Nil,Nil,90,814A,Nil,814A,814A,815A
28,,,,810A,Nil,Nil,812A,Nil,810A_L,Nil,Nil,,,,,,
29,,,,,,,,,810A_sL,,,,,,,,
30,,,,811A,Nil,Nil,812A,Nil,811A_L,801A,Nil,,,,,,
31,,,,,,,,,811A_sL,802A,,,,,,,
32,,,,808A,Nil,Nil,812A,Nil,808A_L,Nil,801A,,,,,,
33,,,,,,,,,,,802A,,,,,,
34,,,,809A,Nil,Nil,812A,Nil,809A_L,801A,Nil,,,,,,
35,,,,,,,,,809A_sL,802A,,,,,,,
36,,,,Nil,806AV1,Nil,812A,S805A_S807A,Nil,Nil,Nil,,,,,,
37,,,,Nil,807AV3,Nil,812A,S801A_S807A,Nil,Nil,Nil,,,,,,
38,9,S807A_S811A,S807A,812A,Nil,Nil,Nil,Nil,Nil,Nil,Nil,90,814A,Nil,814A,814A,816A
39,,,,810A,Nil,Nil,812A,Nil,810A_L,Nil,Nil,,,,,,
40,,,,,,,,,810A_sL,,,,,,,,
41,,,,811A,Nil,Nil,812A,Nil,811A_L,801A,Nil,,,,,,
42,,,,,,,,,811A_sL,802A,,,,,,,
43,,,,808A,Nil,Nil,812A,Nil,808A_L,Nil,801A,,,,,,
44,,,,,,,,,,,802A,,,,,,
45,,,,809A,Nil,Nil,812A,Nil,809A_L,801A,Nil,,,,,,
46,,,,,,,,,809A_sL,802A,,,,,,,
47,,,,Nil,806AV1,Nil,812A,S805A_S807A,Nil,Nil,Nil,,,,,,
48,,,,Nil,807AV3,Nil,812A,S801A_S807A,Nil,Nil,Nil,,,,,,
49,10,S802A_S804A,S802A,816A,Nil,Nil,Nil,Nil,Nil,Nil,Nil,90,814A,Nil,814A,814A,812A
50,11,S802A_S808A,S802A,816A,Nil,Nil,Nil,Nil,Nil,Nil,Nil,90,814A,Nil,814A,814A,815A
51,12,S804A_S822A,S804A,812A,Nil,Nil,Nil,Nil,Nil,Nil,Nil,90,810A,Nil,810A,810A,808A
52,,,,814A,Nil,Nil,812A,Nil,814A_R,Nil,803A,,,,,,
53,,,,,,,,,,,806A,,,,,,
54,,,,815A,Nil,Nil,812A,Nil,815A_R,804A,Nil,,,,,,
55,,,,,,,,,,805A,,,,,,,
56,,,,Nil,816AV1,Nil,812A,S802A_S804A,Nil,Nil,Nil,,,,,,
57,,,,Nil,817AV1,Nil,812A,S806A_S804A,Nil,Nil,Nil,,,,,,
58,13,S804A_S806B,S804A,812A,Nil,Nil,Nil,Nil,Nil,Nil,Nil,90,810A,Nil,810A,810A,811A
59,,,,814A,Nil,Nil,812A,Nil,814A_R,Nil,803A,,,,,,
60,,,,,,,,,,,806A,,,,,,
61,,,,815A,Nil,Nil,812A,Nil,815A_R,804A,Nil,,,,,,
62,,,,,,,,,,805A,,,,,,,
63,,,,Nil,816AV1,Nil,812A,S802A_S804A,Nil,Nil,Nil,,,,,,
64,,,,Nil,817AV1,Nil,812A,S806A_S804A,Nil,Nil,Nil,,,,,,
65,14,S804A_VS822A,S804A,812A,Nil,Nil,Nil,Nil,Nil,Nil,Nil,90,810A,Nil,810A,810A,811A
66,,,,814A,Nil,Nil,812A,Nil,814A_R,Nil,803A,,,,,,
67,,,,,,,,,,,806A,,,,,,
68,,,,815A,Nil,Nil,812A,Nil,815A_R,804A,Nil,,,,,,
69,,,,,,,,,,805A,,,,,,,
70,,,,Nil,816AV1,Nil,812A,S802A_S804A,Nil,Nil,Nil,,,,,,
71,,,,Nil,817AV1,Nil,812A,S806A_S804A,Nil,Nil,Nil,,,,,,
72,15,S804A_VS802A,S804A,812A,Nil,Nil,Nil,Nil,Nil,Nil,Nil,90,810A,Nil,810A,810A,811A
73,,,,814A,Nil,Nil,812A,Nil,814A_R,Nil,803A,,,,,,
74,,,,,,,,,,,806A,,,,,,
75,,,,815A,Nil,Nil,812A,Nil,815A_R,804A,Nil,,,,,,
76,,,,,,,,,,805A,,,,,,,
77,,,,Nil,816AV1,Nil,812A,S802A_S804A,Nil,Nil,Nil,,,,,,
78,,,,Nil,817AV1,Nil,812A,S806A_S804A,Nil,Nil,Nil,,,,,,
79,16,S822A_S832B,S822A,804A,Nil,Nil,Nil,Nil,Nil,Nil,Nil,90,802A,Nil,802A,802A,828B
80,,,,Nil,806AV3,Nil,804A,Nil,806A_R,Nil,Nil,,,,,,
81,17,S806A_S804A,S806A,817A,Nil,Nil,Nil,Nil,Nil,Nil,Nil,90,815A,Nil,815A,815A,814A
82,18,S806A_S808A,S806A,817A,Nil,Nil,Nil,Nil,Nil,Nil,Nil,90,815A,Nil,815A,815A,813A
83,19,S808A_S806B,S808A,813A,Nil,Nil,Nil,Nil,Nil,Nil,Nil,90,811A,Nil,811A,811A,809A
84,,,,815A,Nil,Nil,813A,Nil,815A_R,Nil,804A,,,,,,
85,,,,,,,,,,,805A,,,,,,
86,,,,814A,Nil,Nil,813A,Nil,814A_R,803A,Nil,,,,,,
87,,,,,,,,,,806A,,,,,,,
88,,,,Nil,816AV1,Nil,813A,S802A_S808A,Nil,Nil,Nil,,,,,,
89,,,,Nil,817AV1,Nil,813A,S806A_S808A,Nil,Nil,Nil,,,,,,
90,20,S808A_VS822A,S808A,813A,Nil,Nil,Nil,Nil,Nil,Nil,Nil,90,811A,Nil,811A,811A,809A
91,,,,815A,Nil,Nil,813A,Nil,815A_R,Nil,804A,,,,,,
92,,,,,,,,,,,805A,,,,,,
93,,,,814A,Nil,Nil,813A,Nil,814A_R,803A,Nil,,,,,,
94,,,,,,,,,,806A,,,,,,,
95,,,,Nil,816AV1,Nil,813A,S802A_S808A,Nil,Nil,Nil,,,,,,
96,,,,Nil,817AV1,Nil,813A,S806A_S808A,Nil,Nil,Nil,,,,,,
97,21,S808A_VS802A,S808A,813A,Nil,Nil,Nil,Nil,Nil,Nil,Nil,90,811A,Nil,811A,811A,809A
98,,,,815A,Nil,Nil,813A,Nil,815A_R,Nil,804A,,,,,,
99,,,,,,,,,,,805A,,,,,,
100,,,,814A,Nil,Nil,813A,Nil,814A_R,803A,Nil,,,,,,
101,,,,,,,,,,806A,,,,,,,
102,,,,Nil,816AV1,Nil,813A,S802A_S808A,Nil,Nil,Nil,,,,,,
103,,,,Nil,817AV1,Nil,813A,S806A_S808A,Nil,Nil,Nil,,,,,,
104,22,VS822A_VS832B,VS822A,803A,Nil,Nil,Nil,Nil,Nil,Nil,Nil,90,801A,Nil,801A,801A,827B
105,,,,805A,Nil,Nil,803A,Nil,805A_R,Nil,Nil,,,,,,
106,,,,Nil,807AV1,Nil,803A,Nil,807A_R,Nil,Nil,,,,,,
